0001_tuebadz.conllup	T990507.2
0219_tuebadz.conllup	T990506.76
0220_tuebadz.conllup	T990506.77
0221_tuebadz.conllup	T990506.78
0222_tuebadz.conllup	T990506.79
0223_tuebadz.conllup	T990506.80
0224_tuebadz.conllup	T990506.81
0225_tuebadz.conllup	T990506.82
0226_tuebadz.conllup	T990506.84
0227_tuebadz.conllup	T990506.87
0228_tuebadz.conllup	T990506.88
0229_tuebadz.conllup	T990506.89
0231_tuebadz.conllup	T990506.93
0232_tuebadz.conllup	T990506.94
0235_tuebadz.conllup	T990506.97
0236_tuebadz.conllup	T990506.98
0237_tuebadz.conllup	T990506.99
0238_tuebadz.conllup	T990506.100
0239_tuebadz.conllup	T990506.101
0240_tuebadz.conllup	T990506.103
0241_tuebadz.conllup	T990506.104
0242_tuebadz.conllup	T990506.105
0243_tuebadz.conllup	T990506.107
0245_tuebadz.conllup	T990506.109
0246_tuebadz.conllup	T990506.110
0247_tuebadz.conllup	T990506.111
0248_tuebadz.conllup	T990506.112
0249_tuebadz.conllup	T990506.113
0250_tuebadz.conllup	T990506.114
0252_tuebadz.conllup	T990506.117
0253_tuebadz.conllup	T990506.118
0254_tuebadz.conllup	T990506.120
0255_tuebadz.conllup	T990506.121
0257_tuebadz.conllup	T990506.123
0258_tuebadz.conllup	T990506.125
0259_tuebadz.conllup	T990506.126
0260_tuebadz.conllup	T990506.127
0262_tuebadz.conllup	T990506.129
0263_tuebadz.conllup	T990506.131
0265_tuebadz.conllup	T990506.135
0266_tuebadz.conllup	T990506.136
0267_tuebadz.conllup	T990506.137
0269_tuebadz.conllup	T990506.139
0270_tuebadz.conllup	T990506.140
0271_tuebadz.conllup	T990506.141
0272_tuebadz.conllup	T990506.142
0273_tuebadz.conllup	T990506.143
0276_tuebadz.conllup	T990506.147
0277_tuebadz.conllup	T990506.148
0278_tuebadz.conllup	T990506.149
0280_tuebadz.conllup	T990506.152
0281_tuebadz.conllup	T990506.153
0282_tuebadz.conllup	T990506.154
0283_tuebadz.conllup	T990506.155
0284_tuebadz.conllup	T990506.156
0285_tuebadz.conllup	T990506.157
0286_tuebadz.conllup	T990506.158
0287_tuebadz.conllup	T990506.159
0288_tuebadz.conllup	T990506.160
0289_tuebadz.conllup	T990506.161
0290_tuebadz.conllup	T990506.162
0291_tuebadz.conllup	T990506.163
0292_tuebadz.conllup	T990506.164
0293_tuebadz.conllup	T990506.165
0294_tuebadz.conllup	T990506.166
0295_tuebadz.conllup	T990506.167
0296_tuebadz.conllup	T990506.168
0297_tuebadz.conllup	T990506.170
0298_tuebadz.conllup	T990506.171
0299_tuebadz.conllup	T990506.174
0300_tuebadz.conllup	T990506.179
0301_tuebadz.conllup	T990506.180
0303_tuebadz.conllup	T990506.183
0304_tuebadz.conllup	T990506.185
0305_tuebadz.conllup	T990506.186
0306_tuebadz.conllup	T990506.187
0307_tuebadz.conllup	T990506.188
0308_tuebadz.conllup	T990506.189
0309_tuebadz.conllup	T990506.191
0310_tuebadz.conllup	T990506.192
0311_tuebadz.conllup	T990506.193
0312_tuebadz.conllup	T990506.194
0313_tuebadz.conllup	T990506.195
0315_tuebadz.conllup	T990506.197
0316_tuebadz.conllup	T990506.198
0317_tuebadz.conllup	T990506.199
0318_tuebadz.conllup	T990506.200
0322_tuebadz.conllup	T990506.206
0323_tuebadz.conllup	T990506.207
0324_tuebadz.conllup	T990506.209
0325_tuebadz.conllup	T990506.210
0326_tuebadz.conllup	T990506.211
0327_tuebadz.conllup	T990506.212
0329_tuebadz.conllup	T990506.214
0331_tuebadz.conllup	T990506.217
0332_tuebadz.conllup	T990506.218
0334_tuebadz.conllup	T990506.220
0336_tuebadz.conllup	T990506.223
0337_tuebadz.conllup	T990506.224
0338_tuebadz.conllup	T990506.225
0339_tuebadz.conllup	T990506.226
0340_tuebadz.conllup	T990506.227
0342_tuebadz.conllup	T990506.229
0344_tuebadz.conllup	T990506.231
0345_tuebadz.conllup	T990506.232
0346_tuebadz.conllup	T990506.233
0348_tuebadz.conllup	T990506.237
0350_tuebadz.conllup	T990506.239
0351_tuebadz.conllup	T990506.240
0352_tuebadz.conllup	T990506.241
0353_tuebadz.conllup	T990506.242
0354_tuebadz.conllup	T990506.243
0355_tuebadz.conllup	T990506.244
0356_tuebadz.conllup	T990506.245
0357_tuebadz.conllup	T990506.246
0358_tuebadz.conllup	T990506.247
0359_tuebadz.conllup	T990506.248
0360_tuebadz.conllup	T990506.249
0361_tuebadz.conllup	T990506.250
0364_tuebadz.conllup	T990506.253
0365_tuebadz.conllup	T990506.254
0366_tuebadz.conllup	T990506.255
0368_tuebadz.conllup	T990503.2
0369_tuebadz.conllup	T990503.3
0370_tuebadz.conllup	T990503.4
0372_tuebadz.conllup	T990503.7
0374_tuebadz.conllup	T990503.10
0375_tuebadz.conllup	T990503.12
0376_tuebadz.conllup	T990503.13
0377_tuebadz.conllup	T990503.14
0378_tuebadz.conllup	T990503.15
0379_tuebadz.conllup	T990503.17
0380_tuebadz.conllup	T990503.18
0381_tuebadz.conllup	T990503.19
0382_tuebadz.conllup	T990503.20
0384_tuebadz.conllup	T990503.22
0385_tuebadz.conllup	T990503.23
0386_tuebadz.conllup	T990503.25
0388_tuebadz.conllup	T990503.44
0389_tuebadz.conllup	T990503.51
0390_tuebadz.conllup	T990503.52
0393_tuebadz.conllup	T990503.56
0395_tuebadz.conllup	T990503.58
0396_tuebadz.conllup	T990503.59
0398_tuebadz.conllup	T990503.65
0400_tuebadz.conllup	T990503.68
0401_tuebadz.conllup	T990503.69
0402_tuebadz.conllup	T990503.70
0403_tuebadz.conllup	T990503.71
0404_tuebadz.conllup	T990503.72
0405_tuebadz.conllup	T990503.73
0406_tuebadz.conllup	T990503.75
0407_tuebadz.conllup	T990503.76
0408_tuebadz.conllup	T990503.77
0410_tuebadz.conllup	T990503.79
0411_tuebadz.conllup	T990503.80
0412_tuebadz.conllup	T990503.81
0413_tuebadz.conllup	T990503.82
0414_tuebadz.conllup	T990503.83
0416_tuebadz.conllup	T990503.85
0417_tuebadz.conllup	T990503.87
0418_tuebadz.conllup	T990503.88
0419_tuebadz.conllup	T990503.89
0420_tuebadz.conllup	T990503.90
0423_tuebadz.conllup	T990503.95
0424_tuebadz.conllup	T990503.96
0427_tuebadz.conllup	T990503.99
0428_tuebadz.conllup	T990503.101
0429_tuebadz.conllup	T990503.102
0430_tuebadz.conllup	T990503.103
0431_tuebadz.conllup	T990503.105
0433_tuebadz.conllup	T990503.107
0434_tuebadz.conllup	T990503.108
0435_tuebadz.conllup	T990503.109
0436_tuebadz.conllup	T990503.110
0437_tuebadz.conllup	T990503.111
0439_tuebadz.conllup	T990503.114
0440_tuebadz.conllup	T990503.115
0443_tuebadz.conllup	T990503.120
0444_tuebadz.conllup	T990503.121
0445_tuebadz.conllup	T990503.122
0446_tuebadz.conllup	T990503.123
0448_tuebadz.conllup	T990503.125
0449_tuebadz.conllup	T990503.126
0450_tuebadz.conllup	T990503.128
0451_tuebadz.conllup	T990503.129
0452_tuebadz.conllup	T990503.130
0453_tuebadz.conllup	T990503.131
0454_tuebadz.conllup	T990503.132
0455_tuebadz.conllup	T990503.133
0456_tuebadz.conllup	T990503.134
0457_tuebadz.conllup	T990503.135
0458_tuebadz.conllup	T990503.136
0459_tuebadz.conllup	T990503.137
0460_tuebadz.conllup	T990503.138
0461_tuebadz.conllup	T990503.140
0462_tuebadz.conllup	T990503.141
0463_tuebadz.conllup	T990503.142
0464_tuebadz.conllup	T990503.143
0465_tuebadz.conllup	T990503.145
0466_tuebadz.conllup	T990503.146
0467_tuebadz.conllup	T990503.147
0468_tuebadz.conllup	T990503.148
0469_tuebadz.conllup	T990503.149
0471_tuebadz.conllup	T990503.152
0473_tuebadz.conllup	T990503.154
0474_tuebadz.conllup	T990503.155
0475_tuebadz.conllup	T990503.156
0476_tuebadz.conllup	T990503.157
0478_tuebadz.conllup	T990503.159
0479_tuebadz.conllup	T990503.160
0480_tuebadz.conllup	T990503.161
0481_tuebadz.conllup	T990503.162
0482_tuebadz.conllup	T990503.163
0483_tuebadz.conllup	T990503.164
0485_tuebadz.conllup	T990503.166
0486_tuebadz.conllup	T990503.168
0487_tuebadz.conllup	T990503.169
0490_tuebadz.conllup	T990503.175
0491_tuebadz.conllup	T990503.177
0492_tuebadz.conllup	T990503.178
0494_tuebadz.conllup	T990503.181
0496_tuebadz.conllup	T990503.184
0497_tuebadz.conllup	T990503.187
0499_tuebadz.conllup	T990503.191
0500_tuebadz.conllup	T990503.192
0502_tuebadz.conllup	T990503.195
0503_tuebadz.conllup	T990503.196
0504_tuebadz.conllup	T990503.197
0505_tuebadz.conllup	T990503.198
0506_tuebadz.conllup	T990503.201
0507_tuebadz.conllup	T990503.203
0508_tuebadz.conllup	T990503.204
0509_tuebadz.conllup	T990503.205
0510_tuebadz.conllup	T990503.206
0511_tuebadz.conllup	T990503.207
0513_tuebadz.conllup	T990503.209
0514_tuebadz.conllup	T990503.210
0515_tuebadz.conllup	T990503.212
0516_tuebadz.conllup	T990503.213
0517_tuebadz.conllup	T990503.214
0519_tuebadz.conllup	T990503.216
0520_tuebadz.conllup	T990503.217
0522_tuebadz.conllup	T990503.219
0523_tuebadz.conllup	T990503.222
0524_tuebadz.conllup	T990504.1
0525_tuebadz.conllup	T990504.15
0526_tuebadz.conllup	T990504.23
0527_tuebadz.conllup	T990504.24
0529_tuebadz.conllup	T990504.26
0530_tuebadz.conllup	T990504.27
0531_tuebadz.conllup	T990504.28
0532_tuebadz.conllup	T990504.29
0533_tuebadz.conllup	T990504.30
0534_tuebadz.conllup	T990504.33
0536_tuebadz.conllup	T990504.35
0537_tuebadz.conllup	T990504.36
0539_tuebadz.conllup	T990504.38
0540_tuebadz.conllup	T990504.39
0542_tuebadz.conllup	T990504.41
0543_tuebadz.conllup	T990504.42
0544_tuebadz.conllup	T990504.43
0545_tuebadz.conllup	T990504.45
0548_tuebadz.conllup	T990504.48
0549_tuebadz.conllup	T990504.49
0550_tuebadz.conllup	T990504.50
0551_tuebadz.conllup	T990504.51
0552_tuebadz.conllup	T990504.52
0553_tuebadz.conllup	T990504.55
0554_tuebadz.conllup	T990504.56
0555_tuebadz.conllup	T990504.57
0556_tuebadz.conllup	T990504.58
0557_tuebadz.conllup	T990504.59
0558_tuebadz.conllup	T990504.60
0562_tuebadz.conllup	T990504.67
0564_tuebadz.conllup	T990504.70
0567_tuebadz.conllup	T990504.73
0568_tuebadz.conllup	T990504.74
0569_tuebadz.conllup	T990504.75
0570_tuebadz.conllup	T990504.76
0571_tuebadz.conllup	T990504.77
0572_tuebadz.conllup	T990504.78
0573_tuebadz.conllup	T990504.79
0574_tuebadz.conllup	T990504.81
0576_tuebadz.conllup	T990504.83
0577_tuebadz.conllup	T990504.84
0579_tuebadz.conllup	T990504.86
0580_tuebadz.conllup	T990504.87
0581_tuebadz.conllup	T990504.89
0582_tuebadz.conllup	T990504.90
0583_tuebadz.conllup	T990504.91
0584_tuebadz.conllup	T990504.92
0585_tuebadz.conllup	T990504.93
0586_tuebadz.conllup	T990504.94
0587_tuebadz.conllup	T990504.95
0588_tuebadz.conllup	T990504.96
0589_tuebadz.conllup	T990504.97
0590_tuebadz.conllup	T990504.98
0592_tuebadz.conllup	T990504.101
0593_tuebadz.conllup	T990504.102
0594_tuebadz.conllup	T990504.103
0595_tuebadz.conllup	T990504.105
0596_tuebadz.conllup	T990504.106
0597_tuebadz.conllup	T990504.107
0599_tuebadz.conllup	T990504.110
0600_tuebadz.conllup	T990504.111
0601_tuebadz.conllup	T990504.112
0603_tuebadz.conllup	T990504.116
0604_tuebadz.conllup	T990504.117
0605_tuebadz.conllup	T990504.118
0606_tuebadz.conllup	T990504.119
0607_tuebadz.conllup	T990504.121
0608_tuebadz.conllup	T990504.122
0609_tuebadz.conllup	T990504.123
0610_tuebadz.conllup	T990504.124
0611_tuebadz.conllup	T990504.125
0612_tuebadz.conllup	T990504.127
0613_tuebadz.conllup	T990504.128
0615_tuebadz.conllup	T990504.130
0616_tuebadz.conllup	T990504.131
0618_tuebadz.conllup	T990504.133
0619_tuebadz.conllup	T990504.134
0620_tuebadz.conllup	T990504.135
0621_tuebadz.conllup	T990504.136
0622_tuebadz.conllup	T990504.137
0623_tuebadz.conllup	T990504.138
0625_tuebadz.conllup	T990504.140
0626_tuebadz.conllup	T990504.141
0628_tuebadz.conllup	T990504.144
0629_tuebadz.conllup	T990504.145
0631_tuebadz.conllup	T990504.148
0632_tuebadz.conllup	T990504.149
0633_tuebadz.conllup	T990504.154
0634_tuebadz.conllup	T990504.155
0636_tuebadz.conllup	T990504.157
0638_tuebadz.conllup	T990504.160
0639_tuebadz.conllup	T990504.162
0640_tuebadz.conllup	T990504.164
0641_tuebadz.conllup	T990504.165
0642_tuebadz.conllup	T990504.166
0643_tuebadz.conllup	T990504.167
0645_tuebadz.conllup	T990504.170
0646_tuebadz.conllup	T990504.171
0647_tuebadz.conllup	T990504.172
0649_tuebadz.conllup	T990504.175
0651_tuebadz.conllup	T990504.178
0652_tuebadz.conllup	T990504.179
0653_tuebadz.conllup	T990504.180
0654_tuebadz.conllup	T990504.181
0655_tuebadz.conllup	T990504.182
0656_tuebadz.conllup	T990504.183
0657_tuebadz.conllup	T990504.185
0658_tuebadz.conllup	T990504.186
0659_tuebadz.conllup	T990504.187
0660_tuebadz.conllup	T990504.188
0662_tuebadz.conllup	T990504.190
0663_tuebadz.conllup	T990504.191
0665_tuebadz.conllup	T990504.193
0666_tuebadz.conllup	T990504.195
0667_tuebadz.conllup	T990504.196
0668_tuebadz.conllup	T990504.197
0669_tuebadz.conllup	T990504.198
0670_tuebadz.conllup	T990504.199
0671_tuebadz.conllup	T990504.201
0673_tuebadz.conllup	T990504.203
0675_tuebadz.conllup	T990504.206
0676_tuebadz.conllup	T990504.207
0677_tuebadz.conllup	T990504.208
0679_tuebadz.conllup	T990504.211
0680_tuebadz.conllup	T990504.212
0681_tuebadz.conllup	T990504.213
0682_tuebadz.conllup	T990504.214
0683_tuebadz.conllup	T990504.215
0684_tuebadz.conllup	T990504.216
0685_tuebadz.conllup	T990504.217
0689_tuebadz.conllup	T990505.16
0691_tuebadz.conllup	T990505.20
0693_tuebadz.conllup	T990505.22
0694_tuebadz.conllup	T990505.23
0695_tuebadz.conllup	T990505.24
0696_tuebadz.conllup	T990505.27
0698_tuebadz.conllup	T990505.29
0699_tuebadz.conllup	T990505.30
0701_tuebadz.conllup	T990505.34
0703_tuebadz.conllup	T990505.36
0704_tuebadz.conllup	T990505.37
0706_tuebadz.conllup	T990505.39
0707_tuebadz.conllup	T990505.40
0708_tuebadz.conllup	T990505.41
0709_tuebadz.conllup	T990505.42
0711_tuebadz.conllup	T990505.45
0712_tuebadz.conllup	T990505.46
0713_tuebadz.conllup	T990505.47
0714_tuebadz.conllup	T990505.49
0717_tuebadz.conllup	T990505.52
0718_tuebadz.conllup	T990505.58
0719_tuebadz.conllup	T990505.59
0720_tuebadz.conllup	T990505.60
0721_tuebadz.conllup	T990505.61
0722_tuebadz.conllup	T990505.62
0723_tuebadz.conllup	T990505.63
0724_tuebadz.conllup	T990505.65
0725_tuebadz.conllup	T990505.66
0727_tuebadz.conllup	T990505.69
0731_tuebadz.conllup	T990505.73
0732_tuebadz.conllup	T990505.74
0733_tuebadz.conllup	T990505.77
0734_tuebadz.conllup	T990505.78
0735_tuebadz.conllup	T990505.80
0736_tuebadz.conllup	T990505.81
0738_tuebadz.conllup	T990505.85
0739_tuebadz.conllup	T990505.86
0740_tuebadz.conllup	T990505.88
0742_tuebadz.conllup	T990505.90
0743_tuebadz.conllup	T990505.91
0744_tuebadz.conllup	T990505.92
0745_tuebadz.conllup	T990505.93
0746_tuebadz.conllup	T990505.94
0747_tuebadz.conllup	T990505.95
0748_tuebadz.conllup	T990505.96
0749_tuebadz.conllup	T990505.98
0750_tuebadz.conllup	T990505.99
0752_tuebadz.conllup	T990505.101
0754_tuebadz.conllup	T990505.103
0755_tuebadz.conllup	T990505.104
0756_tuebadz.conllup	T990505.105
0758_tuebadz.conllup	T990505.107
0759_tuebadz.conllup	T990505.108
0760_tuebadz.conllup	T990505.109
0761_tuebadz.conllup	T990505.110
0763_tuebadz.conllup	T990505.112
0764_tuebadz.conllup	T990505.114
0765_tuebadz.conllup	T990505.115
0766_tuebadz.conllup	T990505.116
0767_tuebadz.conllup	T990505.118
0768_tuebadz.conllup	T990505.119
0769_tuebadz.conllup	T990505.120
0770_tuebadz.conllup	T990505.121
0771_tuebadz.conllup	T990505.122
0773_tuebadz.conllup	T990505.124
0774_tuebadz.conllup	T990505.125
0775_tuebadz.conllup	T990505.128
0776_tuebadz.conllup	T990505.129
0777_tuebadz.conllup	T990505.130
0779_tuebadz.conllup	T990505.133
0780_tuebadz.conllup	T990505.134
0781_tuebadz.conllup	T990505.135
0783_tuebadz.conllup	T990505.138
0784_tuebadz.conllup	T990505.139
0786_tuebadz.conllup	T990505.141
0787_tuebadz.conllup	T990505.142
0788_tuebadz.conllup	T990505.143
0789_tuebadz.conllup	T990505.144
0790_tuebadz.conllup	T990505.145
0791_tuebadz.conllup	T990505.146
0792_tuebadz.conllup	T990505.147
0793_tuebadz.conllup	T990505.148
0794_tuebadz.conllup	T990505.149
0797_tuebadz.conllup	T990505.153
0798_tuebadz.conllup	T990505.155
0799_tuebadz.conllup	T990505.156
0800_tuebadz.conllup	T990505.157
0801_tuebadz.conllup	T990505.158
0803_tuebadz.conllup	T990505.164
0804_tuebadz.conllup	T990505.165
0805_tuebadz.conllup	T990505.166
0806_tuebadz.conllup	T990505.168
0807_tuebadz.conllup	T990505.169
0809_tuebadz.conllup	T990505.173
0810_tuebadz.conllup	T990505.177
0812_tuebadz.conllup	T990505.179
0813_tuebadz.conllup	T990505.181
0814_tuebadz.conllup	T990505.182
0815_tuebadz.conllup	T990505.183
0816_tuebadz.conllup	T990505.186
0817_tuebadz.conllup	T990505.187
0818_tuebadz.conllup	T990505.189
0819_tuebadz.conllup	T990505.190
0820_tuebadz.conllup	T990505.191
0821_tuebadz.conllup	T990505.192
0822_tuebadz.conllup	T990505.193
0823_tuebadz.conllup	T990505.194
0824_tuebadz.conllup	T990505.196
0826_tuebadz.conllup	T990505.198
0827_tuebadz.conllup	T990505.199
0828_tuebadz.conllup	T990505.201
0830_tuebadz.conllup	T990505.203
0831_tuebadz.conllup	T990505.204
0832_tuebadz.conllup	T990505.205
0833_tuebadz.conllup	T990505.207
0834_tuebadz.conllup	T990505.208
0835_tuebadz.conllup	T990505.209
0836_tuebadz.conllup	T990505.210
0837_tuebadz.conllup	T990505.211
0838_tuebadz.conllup	T990505.212
0839_tuebadz.conllup	T990505.213
0840_tuebadz.conllup	T990505.214
0843_tuebadz.conllup	T990430.5
0844_tuebadz.conllup	T990430.9
0845_tuebadz.conllup	T990430.15
0846_tuebadz.conllup	T990430.16
0847_tuebadz.conllup	T990430.18
0848_tuebadz.conllup	T990430.22
0850_tuebadz.conllup	T990430.27
0851_tuebadz.conllup	T990430.28
0852_tuebadz.conllup	T990430.32
0853_tuebadz.conllup	T990430.33
0854_tuebadz.conllup	T990430.34
0855_tuebadz.conllup	T990430.35
0856_tuebadz.conllup	T990430.38
0857_tuebadz.conllup	T990430.39
0858_tuebadz.conllup	T990430.42
0859_tuebadz.conllup	T990430.54
0861_tuebadz.conllup	T990430.62
0862_tuebadz.conllup	T990430.65
0864_tuebadz.conllup	T990430.68
0866_tuebadz.conllup	T990430.70
0867_tuebadz.conllup	T990430.71
0869_tuebadz.conllup	T990430.73
0871_tuebadz.conllup	T990430.76
0873_tuebadz.conllup	T990430.78
0874_tuebadz.conllup	T990430.79
0875_tuebadz.conllup	T990430.80
0876_tuebadz.conllup	T990430.81
0877_tuebadz.conllup	T990430.83
0878_tuebadz.conllup	T990430.84
0879_tuebadz.conllup	T990430.85
0882_tuebadz.conllup	T990430.88
0883_tuebadz.conllup	T990430.89
0884_tuebadz.conllup	T990430.90
0885_tuebadz.conllup	T990430.95
0886_tuebadz.conllup	T990430.96
0887_tuebadz.conllup	T990430.97
0888_tuebadz.conllup	T990430.98
0889_tuebadz.conllup	T990430.99
0890_tuebadz.conllup	T990430.100
0892_tuebadz.conllup	T990430.103
0893_tuebadz.conllup	T990430.104
0894_tuebadz.conllup	T990430.108
0896_tuebadz.conllup	T990430.110
0897_tuebadz.conllup	T990430.111
0898_tuebadz.conllup	T990430.113
0899_tuebadz.conllup	T990430.114
0900_tuebadz.conllup	T990430.115
0901_tuebadz.conllup	T990430.116
0902_tuebadz.conllup	T990430.117
0903_tuebadz.conllup	T990430.118
0904_tuebadz.conllup	T990430.119
0906_tuebadz.conllup	T990430.121
0907_tuebadz.conllup	T990430.122
0908_tuebadz.conllup	T990430.124
0909_tuebadz.conllup	T990430.125
0911_tuebadz.conllup	T990430.128
0912_tuebadz.conllup	T990430.129
0913_tuebadz.conllup	T990430.130
0914_tuebadz.conllup	T990430.131
0915_tuebadz.conllup	T990430.132
0916_tuebadz.conllup	T990430.133
0917_tuebadz.conllup	T990430.134
0918_tuebadz.conllup	T990430.137
